Artists,Name,Date,Genre,Writing.Credits,Features
"Lil Nas,",Old Town Road,5-Apr-19,"Country,Atlanta,Alternative Country,Hip-Hop,Trap,Memes,Remix,Country Rap,Rap","Jozzy, Atticus ross, Trent reznor, Billy ray cyrus, Lil nas x",Billy Ray Cyrus
"Shawn Mendes, Camila Cabello",Senorita,21-Jun-19,Pop,"Cashmere cat, Jack patterson, Charli xcx, Benny blanco, Watt, Ali tamposi, Camila cabello, Shawn mendes",
Billie Eilish,Bad Guy,29-Mar-19,"Hip-Hop,Dark Pop,House,Trap,Memes,Alternative Dance,Alternative,Alternative Pop,Dance-Pop,Dance,Electro-Pop,Electro,Pop","Billie eilish, Finneas",
Khalid,Talk,7-Feb-19,"Synth-Pop,Pop","Howard lawrence, Guy lawrence, Khalid",
"Ed Sheeran, Justin Bieber",I Don't Care,10-May-19,"Canada,UK,Dance,Dance-Pop,Pop","Ed sheeran, Justin bieber, Shellback, Max martin, Poo bear, Fred gibson",
Jonas Brothers,Sucker,1-Mar-19,"Alternative Pop,Boy Band,Teen Pop,Pop-Rock,Pop","Ryan tedder, Louis bell, Frank dukes, Nick jonas, Joe jonas, Kevin jonas",
DaBaby,Suge,1-Mar-19,"Trap,East Coast,Rap","Jetsonmade, Pooh beatz, Dababy",
Drake,Money In The Grave,15-Jun-19,"Hip-Hop,Rap,Basketball,NBA,Canada","Asoteric, Ljay currie, Cydney christine, Rick ross, Drake",Rick Ross
Chris Brown,No Guidance,8-Jun-19,"Alternative R&;B,Hip-Hop,Rap,Pop,DMV,Canada,R&;B","Velous, J louis, Vinylz, Michee patrick lebrun, Teddy walton, Nija, Drake, Chris brown",Drake
Post Malone,Wow.,24-Dec-18,"Memes,Hip-Hop,Trap,Rap","Frank dukes, Billy walsh, Louis bell, Post malone",
Lizzo,Truth Hurts,19-Sep-17,"Pop,Rap","Ricky reed, Jesse saint john, Steven cheung, Lizzo",
"Post Malone, Swae Lee",Sunflower,18-Oct-18,"Rap,Disney,Hip-Hop,Marvel,Soundtrack,R&;B,Pop","Carl rosen, Louis bell, Billy walsh, Carter lang, Swae lee, Post malone",
Taylor Swift,You Need To Calm Down,14-Jun-19,"Synth-Pop,LGBTQ+,Pop","Joel little, Taylor swift",
Shawn Mendes,If I Can't Have You,3-May-19,"Canada,Teen Pop,Pop","Dmitry fedorov, Teddy geiger, Shawn mendes, Scott harris, Nate mercereau",
"Sam Smith, Normani",Dancing With A Stranger,11-Jan-19,"UK,Pop","Tor erik hermansen, Mikkel storleer eriksen, Jimmy napes, Normani, Sam smith",
Lil Nas X,Panini,20-Jun-19,"Memes,Atlanta,Hip-Hop,Trap,Rap","Dot da genius, Kurt cobain, David biral, Denzel baptiste, Lil nas x",
Halsey,Without Me,4-Oct-18,"Synth-Pop,R&;B,Alternative Pop,Ballad,Pop,Alternative","Justin timberlake, Timbaland, Halsey, Delacey, Louis bell, Amy allen, Scott storch",
Blake Shelton,God's Country,29-Mar-19,Country,"Jordan schmidt, Hardy, Devin dawson",
Polo G,Pop Out,13-Jan-19,"Trap,Rap","Lil tjay, Polo g",Lil Tjay
Nicki Minaj,MEGATRON,21-Jun-19,"East Coast,Hip-Hop,Rap","Haldane brown, Andrew pop wansel, Brittany coney, Blu june, Nicki minaj",
Ava Max,Sweet But Psycho,17-Aug-18,"Dance-Pop,Dance,Electronic Pop,Electro,R&;B,Electronic,Electro-Pop,UK,Pop","Ava max, Tix, Cirkut, Madison love, Cook classics",
"Lil Nas X, Cardi B",Rodeo,21-Jun-19,"Country,Atlanta,East Coast,Trap,Country Rap,Hip-Hop,Rap","Denzel baptiste, Russ chell, Roy lenzo, Cardi b, David biral, Lil nas x",
Ariana Grande,7 Rings,18-Jan-19,"Memes,Trap,R&;B,Pop","Ariana grande, Richard rodgers, Tbhits, Njomza, Michael mikey foster, Kaydence, Tayla parx, Scootie, Oscar hammerstein ii, Victoria monet",
Panic! At The Disco,"Hey Look Ma, I Made It",22-Jun-18,"Pop-Rock,Jazz Fusion,Alternative,Alternative Pop,Electro-Pop,Pop","Jake sinclair, Michael angelakos, Dillon francis, Sam holland, Morgan kibby, Brendon urie",
"Marshmello, Bastille",Happier,17-Aug-18,"Adult Alternative,Producer,Alternative Dance,Alternative Pop,Alternative Rock,Adult Contemporary,Electro-Pop,Future Bass,Electronic,Dance,Pop","Steve mac, Marshmello, Dan smith",
Lee Brice,Rumor,3-Nov-17,Country,"Kyle jacobs, Ashley gorley, Lee brice",
Katy Perry,Never Really Over,31-May-19,"Electro-Pop,Synth-Pop,Pop","Hayley warner, Katy perry, Dagny, Michelle buzz, Jason gill, Farrago, Zedd, Leah haywood, Daniel james",
Morgan Wallen,Whiskey Glasses,27-Apr-18,Country,"Kevin kadish, Ben burgess",
Blanco Brown,The Git Up,2-May-19,"Atlanta,Dance,Rap,Country Rap,Country",Blanco brown,
"Young Thug, J. Cole, Travis Scott",The London,23-May-19,"Hip-Hop,East Coast,Atlanta,Rap","T minus, Travis scott, J cole, Young thug",
Taylor Swift,ME!,26-Apr-19,"Dream-Pop,Bubblegum Pop,Dance-Pop,Pop","Brendon urie, Joel little, Taylor swift",Brendon Urie
Panic! At The Disco,High Hopes,23-May-18,"Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop","Sam hollander, Cook classics, Tayla parx, Jake sinclair, Lolo, Ilsey, Jonas jeberg, Jenny owen youngs, Brendon urie",
Luke Combs,Beer Never Broke My Heart,8-May-19,"Rock,Country","Randy montana, Jonathan singleton, Luke combs",
City Girls,Act Up,16-Nov-18,"Motown,East Coast,Rap","Jt, Earlonthebeat, Lil yachty",
"benny blanco, Halsey, Khalid",Eastside,12-Jul-18,"R&;B,Pop","Happy perez, Benny blanco, Khalid, Halsey, Ed sheeran",
J. Cole,Middle Child,23-Jan-19,"Trap,East Coast,Rap",J cole,
"Daddy Yankee, Katy Perry",Con Calma,19-Apr-19,"Latin Pop,Dancehall,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music","Katy perry, Snow, Daddy yankee, Gaby music",Snow
