Artists,Name,Genre,Weekly.rank
"""Weird Al"" Yankovic",Canadian Idiot,"Comedy,Parody,Rock",82
"""Weird Al"" Yankovic",Word Crimes,"Parody,Comedy,Pop",39
'N Sync,Bye Bye Bye,"Adult Contemporary,Dance-Pop,Teen Pop,Boy Band,Pop",4
'N Sync,Gone,"Adult Contemporary,Acoustic,Soul Pop,R&;B,Boy Band,Pop",11
'N Sync,It's Gonna Be Me,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",1
'N Sync,Pop,"Electro-Pop,Electronic,Boy Band,Pop",19
'N Sync,This I Promise You,"Ballad,Adult Contemporary,Neo Soul,Soul Pop,Soul,R&;B,Boy Band,Pop",5
"'N Sync, Gloria Estefan",Music Of My Heart,Pop,2
10 Years,Wasteland,"Alternative Metal,Rock",94
112,Anywhere,"R&;B,Rap",25
112,Dance With Me,Rap,39
112,It's Over Now,R&;B,6
112,Na Na Na,"Dancehall,R&;B",75
112,Peaches & Cream,R&;B,4
17,NC,"Trap,Rap",41
2 Chainz,4 AM,"Atlanta,Trap,Rap",55
2 Chainz,Birthday Song,"Trap,Rap",47
2 Chainz,Feds Watching,Rap,66
2 Chainz,Gotta Lotta,Rap,100
2 Chainz,I Do It,Rap,94
2 Chainz,I'm Different,"Hyphy,West Coast,Rap",27
2 Chainz,It's A Vibe,"DMV,West Coast,Trap,R&;B,Rap",44
2 Chainz,Momma I Hit A Lick,"West Coast,Rap",100
2 Chainz,No Lie,"Canada,Trap,Rap",24
2 Chainz,Proud,"West Coast,Motown,Trap,Rap",96
2 Chainz,Rule The World,"R&;B,Rap",94
2 Chainz,Watch Out,Rap,64
2 Chainz,Whip,Rap,75
2 Chainz,Yuck!,Rap,80
"2 Chainz, Gucci Mane, Quavo",Good Drank,"Atlanta,Trap,Rap",70
"2 Chainz, Wiz Khalifa",We Own It,"East Coast,Soundtrack,Rap",16
2 Pistols,She Got It,Rap,24
21 Savage,1.5,"Motown,Trap,Rap",86
21 Savage,A Lot,"East Coast,Trap,Rap",12
21 Savage,ASMR,"Trap,Rap",95
21 Savage,All My Friends,"Trap,Rap",67
21 Savage,Bank Account,"Memes,Trap,Rap",12
21 Savage,Break Da Law,"Trap,Rap",70
21 Savage,Can't Leave Without It,"Motown,Trap,Rap",58
21 Savage,Famous,"Trap,Rap",94
21 Savage,Gun Smoke,"Trap,Rap",93
21 Savage,Monster,"Atlanta,Hip-Hop,Trap,Rap",73
21 Savage,Out For The Night,"Trap,Rap",88
21 Savage,Red Opps,"Trap,Rap",74
"21 Savage, Metro Boomin",No Heart,"Atlanta,Memes,Trap,Rap",43
"21 Savage, Metro Boomin",X,"Atlanta,Trap,Rap",36
"21 Savage, Offset, Metro Boomin",Ghostface Killers,"Atlanta,Trap,Rap",35
"21 Savage, Offset, Metro Boomin",Mad Stalkers,"Motown,Trap,Rap",99
"21 Savage, Offset, Metro Boomin",Rap Saved Me,"Motown,Trap,Rap",64
2Pac,Still Ballin,"Remix,Gangsta Rap,Rap",69
2Pac,Thugs Get Lonely Too,"Remix,Gangsta Rap,West Coast,Rap",98
2Pac,Thugz Mansion,"Remix,R&;B,Soul,Rap",19
2Pac,Until The End Of Time,"Remix,Pop,R&;B,Rap",52
3 Doors Down,Away From The Sun,Rock,62
3 Doors Down,Be Like That,"Post-Grunge,Alternative Rock,Rock",24
3 Doors Down,Citizen/Soldier,"Post-Grunge,Military,Rock",96
3 Doors Down,Here Without You,"Post-Grunge,Rock",5
3 Doors Down,It's Not My Time,Rock,17
3 Doors Down,Kryptonite,"Alternative,Post-Grunge,Alternative Rock,Rock",3
3 Doors Down,Let Me Go,"Alternative Rock,Rock",14
3 Doors Down,Loser,"Rock,Alternative Rock",55
3 Doors Down,When I'm Gone,Rock,4
3 Doors Down,When You're Young,Rock,81
311,Love Song,"Ska,Cover,Rock",59
3LW,Playas Gon' Play,R&;B,81
3OH!3,Deja Vu,"Dance-Pop,Pop",75
3OH!3,Don't Trust Me,"Electronic,Pop,Rap",7
3OH!3,Double Vision,"Dance-Pop,Pop",87
3OH!3,Follow Me Down,"Electro-Pop,Dance-Pop,Pop",89
3OH!3,Hit It Again,Pop,66
3OH!3,I Can Do Anything,Rap,100
3OH!3,Set You Free,Pop,84
3OH!3,Starstrukk,Rap,66
5 Seconds Of Summer,Amnesia,"Australia,Punk Rock,Pop-Rock,Pop,Rock",16
5 Seconds Of Summer,Don't Stop,"Australia,Punk Rock,Pop-Rock,Pop,Rock",47
5 Seconds Of Summer,Easier,"Australia,Pop",48
5 Seconds Of Summer,Everything I Didn't Say,"Australia,Punk Rock,Pop-Rock,Pop,Rock",24
5 Seconds Of Summer,Fly Away,"Australia,Pop-Rock,Pop,Punk Rock,Rock",100
5 Seconds Of Summer,Girls Talk Boys,"Australia,Pop",68
5 Seconds Of Summer,Good Girls,"Australia,Punk Rock,Pop-Rock,Pop,Rock",34
5 Seconds Of Summer,Jet Black Heart,"Australia,Pop-Rock,Pop,Punk Rock,Rock",95
5 Seconds Of Summer,Kiss Me Kiss Me,"Australia,Punk Rock,Pop-Rock,Pop,Rock",28
5 Seconds Of Summer,She Looks So Perfect,"Australia,Punk Rock,Pop-Rock,Pop,Rock",24
5 Seconds Of Summer,She's Kinda Hot,"Australia,Pop-Rock,Pop,Punk Rock,Rock",22
5 Seconds Of Summer,Want You Back,"Pop-Rock,Australia,Electro-Pop,Pop",61
5 Seconds Of Summer,Youngblood,"New Wave,Pop,Synth-Pop,Electro-Pop,Alternative Pop,Australia,Pop-Rock,Rock",7
50 Cent,21 Questions,Rap,1
50 Cent,Ayo Technology,"Rap,Producer",5
50 Cent,Baby By Me,Rap,28
50 Cent,Candy Shop,Rap,1
50 Cent,Disco Inferno,Rap,3
50 Cent,Get Up,Rap,44
50 Cent,Hustler's Ambition,Rap,65
50 Cent,I Get It In,Rap,53
50 Cent,I Get Money,"SHADYXV,Rap,Producer",20
50 Cent,If I Can't,"East Coast,Rap",76
50 Cent,In Da Club,"Hip-Hop,Memes,Producer,East Coast,Gangsta Rap,SHADYXV,Rap",1
50 Cent,My Life,Rap,27
50 Cent,New Day,Rap,79
50 Cent,Outlaw,Rap,87
50 Cent,Outta Control,"Remix,Rap",6
50 Cent,P.I.M.P.,"Gangsta Rap,Calypso,East Coast,SHADYXV,Rap",3
50 Cent,Piggy Bank,"Beef,Rap",88
50 Cent,Straight To The Bank,Rap,32
50 Cent,The Invitation,Rap,97
50 Cent,Wanksta,"East Coast,SHADYXV,Rap",13
50 Cent,Window Shopper,"Screen,Soundtrack,Hardcore Hip-Hop,Gangsta Rap,East Coast,Hip-Hop,Rap",20
"50 Cent, Olivia",Best Friend,Rap,35
504 Boyz,Wobble Wobble,Rap,17
6LACK,Prblms,"Alternative R&;B,Trap,R&;B",72
6LACK,Pretty Little Fears,"R&;B,Rap",76
6ix9ine,BEBE,"Puerto Rico,Rap,Latin Urban,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Music",30
6ix9ine,Billy,"Trap Metal,Metalrap,Trap,Rap Rock,Gangsta Rap,Hip-Hop,Nu-Metal,Screamo,Rap",50
6ix9ine,FEFE,"Hip-Hop,Pop,Trap,Rap",3
6ix9ine,Gotti,"R&;B,Hip-Hop,East Coast,Cloud Rap,Trap,Rap",99
6ix9ine,Gummo,"Cloud Rap,Hardcore Hip-Hop,Hip-Hop,Trap,Rap,East Coast",12
6ix9ine,KIKA,"Trap,R&;B,Canada,East Coast,Rap",44
6ix9ine,Kooda,"Gangsta Rap,Hardcore Hip-Hop,Trap,East Coast,Beef,Rap",50
6ix9ine,MAMA,"Pop,Motown,Trap,Rap",43
6ix9ine,RONDO,"Hardcore Hip-Hop,Canada,Trap,Rap",73
6ix9ine,STOOPID,"Hardcore Hip-Hop,East Coast,Trap,Rap",25
6ix9ine,TATI,"Beef,Hardcore Hip-Hop,East Coast,Rap",46
6ix9ine,TIC TOC,"Trap,Motown,Rap",53
6ix9ine,WAKA,"Trap,Rap",51
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",KEKE,"Hardcore Hip-Hop,East Coast,Trap,Rap",43
702,Where My Girls At?,"Girl Group,R&;B",6
800,1,"Hip-Hop,Canada,DMV,Pop,Rap",3
98 Degrees,Give Me Just One Night,"Latin Pop,Pop",2
98 Degrees,I Do,Pop,13
98 Degrees,My Everything,Pop,34
98 Degrees,The Hardest Thing,"R&;B,Pop",12
98 Degrees,This Gift,Pop,49
A,Freek,"Electronic,Rap",7
A,Out The Speakers,Pop,98
A Boogie Wit da Hoodie,Beast Mode,"Trap,Rap",86
A Boogie Wit da Hoodie,Demons And Angels,"Cloud Rap,Trap,Rap",90
A Boogie Wit da Hoodie,Drowning,"Trap,Rap",38
A Boogie Wit da Hoodie,Look Back At It,"Pop,Rap",27
A Boogie Wit da Hoodie,No Promises,"Trap,Rap",74
A Boogie Wit da Hoodie,Say A',Rap,75
A Boogie Wit da Hoodie,Startender,"Motown,Trap,Rap",59
A Boogie Wit da Hoodie,Swervin,"Trap,Rap",38
A Boogie Wit da Hoodie,Timeless,Rap,86
A Boogie Wit da Hoodie,Undefeated,"Trap,Rap",84
A Great Big World,Hold Each Other,"R&;B,Rap,Pop",99
"A Great Big World, Christina Aguilera",Say Something,"Piano,Acoustic,Adult Contemporary,Indie Pop,Pop,Ballad",4
A Perfect Circle,The Outsider,"Alternative Metal,Alternative,Alternative Rock,Rock",79
A Perfect Circle,Weak And Powerless,"Alternative Rock,Rock",61
A Rocket To The Moon,Like We Used To,Rock,91
A Thousand Horses,Smoke,Country,47
A Tribe Called Quest,We The People....,"Conscious Hip-Hop,Boom Bap,Politics,East Coast,Rap",77
A$AP Ferg,New Level,"Atlanta,East Coast,Trap,Rap",90
A$AP Ferg,Plain Jane,"East Coast,Trap,Fashion,Remix,Rap",27
A$AP Ferg,Work,"Posse Cut,East Coast,West Coast,Remix,Trap,Rap",100
A$AP Rocky,Electric Body,"Cloud Rap,East Coast,R&;B,Trap,Pop,Rap",80
A$AP Rocky,Everyday,"R&;B,East Coast,Rap",92
A$AP Rocky,Praise The Lord,"East Coast,Trap,UK Rap,UK,Rap",45
A$AP Rocky,Wild For The Night,"East Coast,Electronic,Dubstep,Rap",80
A*Teens,Bouncing Off The Ceiling,Pop,93
A*Teens,Dancing Queen,Pop,95
AFI,Love Like Winter,Rock,68
AFI,Miss Murder,"Post-Hardcore,Alternative Rock,Pop-Punk,Emo,Rock",24
AJR,Burn The House Down,Pop,100
AJR,I'm Ready,Pop,65
AJR,Weak,"Trap,Electro-Pop,Electronic,Indie Pop,Pop",73
ATC,Around The World,Pop,28
AWOLNATION,Sail,"Electro-Pop,Pop-Rock,Alternative Rock,Industrial Rock,Indie Rock,Electronic Rock,Rock",17
Aaliyah,Come Over,R&;B,32
Aaliyah,I Care 4 U,R&;B,16
Aaliyah,I Don't Wanna,"R&;B,Rap",35
Aaliyah,Miss You,R&;B,3
Aaliyah,More Than A Woman,"Pop,R&;B",25
Aaliyah,Rock The Boat,R&;B,14
Aaliyah,Try Again,R&;B,1
Aaliyah,We Need A Resolution,"Soul,Soul Pop,Pop,R&;B,Rap",59
Aaron Carter,That's How I Beat Shaq,Pop,96
Aaron Lewis,Country Boy,Country,87
Aaron Lines,You Can't Hide Beautiful,Country,38
Aaron Tippin,Kiss This,Pop,42
Aaron Tippin,Where The Stars And Stripes And The Eagle Fly,Country,20
Ace Hood,Body 2 Body,"R&;B,Rap",65
Ace Hood,Bugatti,"Gangsta Rap,Trap,Rap",33
Ace Hood,Hustle Hard,Rap,60
Ace Hood,Ride,"R&;B,Rap",90
Action Bronson,Baby Blue,Rap,91
Adam Lambert,Better Than I Know Myself,"Pop,Glam Rock,Pop-Rock,Ballad",76
Adam Lambert,For Your Entertainment,"Pop-Rock,Glam Rock,Pop",61
Adam Lambert,Ghost Town,"House,Pop-Rock,Glam Rock,Rock,Electronic,Pop",64
